source,filename,sheet_name,name,description,price,schema,valid,collect_dt,sorted_schema,company,category,extension,tags,대분류,중분류,소분류,tags_list,data_size,data_count,data_size_bytes
bigdata-sea,page_000042.html,-,어업별 어선조업 위치,3개 어업별 어선의 조업 GPS 정보\n\n∙해양침적쓰레기 수거를 위한 기초자료로 활용\n∙연근해 해역을 운항하는 선박의 어구 또는 어망으로 발생되는 전복사고 대처 할 수 있는 정보 활용,0,FS_NM|FS_NO|FSH_PRMS_SCTN|FSH_KIND|FS_LCT_LA|FS_LCT_LO|MRN_NO|FW_YR|FW_MNTH,True,2025-07-15,FSH_KIND-FSH_PRMS_SCTN-FS_LCT_LA-FS_LCT_LO-FS_NM-FS_NO-FW_MNTH-FW_YR-MRN_NO,광주과학기술원,어업자원,"CSV, JSON, XML","['GPS정보', '광주과학기술원', '어선정보', '어업', '조업위치', '해구도']",산업/기술,해양/수산,어업,"['GPS정보', '광주과학기술원', '어선정보', '어업', '조업위치', '해구도']",33433982,394372,33433982.0
bigdata-sea,page_000043.html,-,수산물 판매유통 데이터,"수산물의 판매지역, 보관일수, 품명, 판매가격 데이터\n\n∙국내에 유통되는 수산물은 여러 단계별 유통 경로 중 1차 유통단계의 판매지역에 대한 정보 제공\n∙1차 유통단계에 판매가 이루어질 때까지의 보관지역과 보관기간에 대한 정보 제공\n∙어종별로 냉동보관창고에서 보관 후 1차 유통단계까지 소요되는 평균소요기간에 대한 정보 제공",250000,SEQ_NO|SALE_YMD|CMPNY_CD|SALE_AREA_CTPRV|SALE_AREA_TWNSHP|CSTD_AREA_CTPRV|CSTD_AREA_TWNSHP|CSTD_PERD|CTGRY_MLSFC_NM|SOF|PRDCT_NM|SALE_PRICE|PHOTO_INFO_ESSN_ID,True,2025-07-15,CMPNY_CD-CSTD_AREA_CTPRV-CSTD_AREA_TWNSHP-CSTD_PERD-CTGRY_MLSFC_NM-PHOTO_INFO_ESSN_ID-PRDCT_NM-SALE_AREA_CTPRV-SALE_AREA_TWNSHP-SALE_PRICE-SALE_YMD-SEQ_NO-SOF,에이치더블유,해양수산,"CSV, JSON, XML","['hw', '상품', '수산물', '유통', '트렌드', '판매']",소비/유통,상품,유통,"['hw', '상품', '수산물', '유통', '트렌드', '판매']",1582519,39784,1582519.0
bigdata-sea,page_000044.html,-,"넙치, 숭어 양식 환경, 질병, 활동상태","넙치, 숭어 양식장의 수질 환경, 질병 활동 데이터\n\n∙넙치 숭어의 양식환경 데이터를 참고 수온과 DO, 급이내역을 활용하여 양식사업에 적용할수 있다\n∙질병데이터를 통하여 질병발생시기및 예측 및 예방을 할수있다\n∙활동 데이터를 활용하여 이상 여부를 판단할수 있다",500000,SN|YMD|TM|SNSR_ID|SOF|SCNM|FRM_AREA|ARCD|FRM_NM|MNGR_NM|TOT_BRD_WA|CSTRN_NO|WT|TM_PARTY_INP_WT_QTY|TM_PARTY_FILT_WT_QTY|SRFCLYR_WTPR|MDLLYR_WTPR|DPLYR_WTPR|DO_QTY|SLN|HDRG_ION_CTRN|NH3_CTRN|NTDX_CTRN|TRBDTY|COD_QTY|FEED_KIND|FDNG_QTY|FDNG_CNT|TOT_NOANM_CNT|DENS|PPLTN_DSTNT_AVE_WT|PPLTN_DSTNT_AVE_MGNT|NUT_QTY_EC|NUT_QTY_NEOMIX|SNSR_MSRM_PNT|DISS_EXNEX|DISS_NM_KOR|DISS_NM_SCNM|DISS_OCRN_YMD|DISS_SYM|MNGMN_MTT|DISS_VIDO_INFO_FILE_NM|DISS_VIDO_FILE_MGNT|DISS_VIDO_RSOLTN|DISS_IMG_INFO_FILE_NM|DISS_IMG_FILE_MGNT|DISS_IMG_RSOLTN|PRDL_YMD|BRD_DCNT|PRDL_WL|PRDL_HT|PRDL_WT|NOW_WL|NOW_HT|NOW_WT|ACST_DENS|ACST_VIDO_INFO_FILE_NM|ACST_VIDO_FILE_MGNT|ACST_VIDO_RSOLTN|ACST_IMG_INFO_FILE_NM|ACST_IMG_FILE_MGNT|ACST_IMG_RSOLTN,True,2025-07-15,ACST_DENS-ACST_IMG_FILE_MGNT-ACST_IMG_INFO_FILE_NM-ACST_IMG_RSOLTN-ACST_VIDO_FILE_MGNT-ACST_VIDO_INFO_FILE_NM-ACST_VIDO_RSOLTN-ARCD-BRD_DCNT-COD_QTY-CSTRN_NO-DENS-DISS_EXNEX-DISS_IMG_FILE_MGNT-DISS_IMG_INFO_FILE_NM-DISS_IMG_RSOLTN-DISS_NM_KOR-DISS_NM_SCNM-DISS_OCRN_YMD-DISS_SYM-DISS_VIDO_FILE_MGNT-DISS_VIDO_INFO_FILE_NM-DISS_VIDO_RSOLTN-DO_QTY-DPLYR_WTPR-FDNG_CNT-FDNG_QTY-FEED_KIND-FRM_AREA-FRM_NM-HDRG_ION_CTRN-MDLLYR_WTPR-MNGMN_MTT-MNGR_NM-NH3_CTRN-NOW_HT-NOW_WL-NOW_WT-NTDX_CTRN-NUT_QTY_EC-NUT_QTY_NEOMIX-PPLTN_DSTNT_AVE_MGNT-PPLTN_DSTNT_AVE_WT-PRDL_HT-PRDL_WL-PRDL_WT-PRDL_YMD-SCNM-SLN-SN-SNSR_ID-SNSR_MSRM_PNT-SOF-SRFCLYR_WTPR-TM-TM_PARTY_FILT_WT_QTY-TM_PARTY_INP_WT_QTY-TOT_BRD_WA-TOT_NOANM_CNT-TRBDTY-WT-YMD,목포대학교산학협력단,해양환경,"CSV, JSON, XML","['넙치', '상태', '숭어', '양식', '양식환경', '질병', '환경', '활동']",산업/기술,해양/수산,양식,"['넙치', '상태', '숭어', '양식', '양식환경', '질병', '환경', '활동']",3258552,74058,3258552.0
bigdata-sea,page_000045.html,-,국가어항 일반현황,"국가 어항의 매년 업데이트 되는 어항의 기본정보\n\n∙관광 플랫폼, 관광공사\n∙다른 분야와 융합이 가능한 1차 원천정보\n∙어항의 위도와 경도를 알 수 있는 정도의 데이터 모음",0,YR|YR_PRT_CONNO|CTPRV_CD|CTPRV_NM|SIGNGU_CD|SIGUN_NM|FSHNG_PRT_CD|FSHNG_PRT_NM|HANG_SPCS_CD|HANG_SPCS_NM|APPNM_YR|FP_ADDR_DNL|LA|LO|NRB_FP_NM|NRB_FP_SPCSCD|NRB_FP_SPCSNM|NRB_FP_DIST|PRT_RPLICEPHOTO|NRB_ROAD|NRB_ROAD_DIST|SHPSRVC_DSTNC|ISL_DIST|PSSHP_TYP|RTR_PUL|RTR_HSHLD|MAIN_TRRSR_CNT|MAIN_TRRSR_NM|NRB_BEACH_CNT|NRB_BEACH_NM|HSTRCLST_CNT|HSTRCLST_NM|FSHNG_VLLG_CNT|FSTVL_CNT|FSTVL_NM|FSTVL_OPN_PRD|EDU_FCLTY_CNT|MLFLT_CNT|CWFCLTY_CNT|PBLC_FCLTY_CNT|TYPHN_NM|DMG_FCLTY_NM|DAMGE_AMT|BURBND_MTHD|ACDNT_YMD|ACDNT_LCT|ACDNT_CN|HMACCDNT|DEATH|INJRY|VSL_DMG|HMACCDNT_PRSNCNT|WFCL_CNT|HSTR_CONT|RGSTN_DT|EXC_YR,True,2025-07-15,ACDNT_CN-ACDNT_LCT-ACDNT_YMD-APPNM_YR-BURBND_MTHD-CTPRV_CD-CTPRV_NM-CWFCLTY_CNT-DAMGE_AMT-DEATH-DMG_FCLTY_NM-EDU_FCLTY_CNT-EXC_YR-FP_ADDR_DNL-FSHNG_PRT_CD-FSHNG_PRT_NM-FSHNG_VLLG_CNT-FSTVL_CNT-FSTVL_NM-FSTVL_OPN_PRD-HANG_SPCS_CD-HANG_SPCS_NM-HMACCDNT-HMACCDNT_PRSNCNT-HSTRCLST_CNT-HSTRCLST_NM-HSTR_CONT-INJRY-ISL_DIST-LA-LO-MAIN_TRRSR_CNT-MAIN_TRRSR_NM-MLFLT_CNT-NRB_BEACH_CNT-NRB_BEACH_NM-NRB_FP_DIST-NRB_FP_NM-NRB_FP_SPCSCD-NRB_FP_SPCSNM-NRB_ROAD-NRB_ROAD_DIST-PBLC_FCLTY_CNT-PRT_RPLICEPHOTO-PSSHP_TYP-RGSTN_DT-RTR_HSHLD-RTR_PUL-SHPSRVC_DSTNC-SIGNGU_CD-SIGUN_NM-TYPHN_NM-VSL_DMG-WFCL_CNT-YR-YR_PRT_CONNO,빌리언21,해양산업,"CSV, JSON, XML","['관광', '관광지', '국가어항', '빌리언21', '어항주변관광지', '일반현황', '해수욕장']",공간/위치,관광,관광,"['관광', '관광지', '국가어항', '빌리언21', '어항주변관광지', '일반현황', '해수욕장']",18460,780,18460.0
bigdata-sea,page_000046.html,-,선박 스케줄 정보,"선박의 터미널 입출항 정보\n\n∙선박 입출항시간 분석하는 자료로 활용\n∙하역작업시간 분석하는 자료로 활용\n∙항만별, 터미널별 척수, 선박규모, 물동량등 통계자료 활용",1000000,SN|VOYG_NO|SHIP_NM|MS_CD|PRT|SC_ID|BRTH_NM|TRMNL|REF_CD|EXPECT_ARVL_TM|EXPECT_BRTH_TM|RL_ARVL_TM|EXPECT_DPTR_TM|TRMNL_ID|OPRT_BGN_DTM|RGSTN_MAN|RGST_DT,True,2025-07-15,BRTH_NM-EXPECT_ARVL_TM-EXPECT_BRTH_TM-EXPECT_DPTR_TM-MS_CD-OPRT_BGN_DTM-PRT-REF_CD-RGSTN_MAN-RGST_DT-RL_ARVL_TM-SC_ID-SHIP_NM-SN-TRMNL-TRMNL_ID-VOYG_NO,해운항만물류정보협회,해운물류,"CSV, JSON, XML","['물류', '선박', '스케줄', '입출항', '입항시간', '정보', '출항시간', '컨테이너', '항만', '해운', '협회']",소비/유통,상품,물류,"['물류', '선박', '스케줄', '입출항', '입항시간', '정보', '출항시간', '컨테이너', '항만', '해운', '협회']",2689902,46556,2689902.0
bigdata-sea,page_000048.html,-,해상수출 물류가격 견적데이터,"∙2014년부터 2020년까지의 전세계 항구에 대한 해상수출 운임 견적서\n∙출발항구, 도착국가, 선적물 정보에 따른 예상 해상수출 운임 견적서\n∙시계열 데이터\n\n∙국내 해상수출 견적 데이터 확인 및 분석하고자 하는 기업 및 기관\n∙국내 해상수출 데이터와 관련해 데이터를 분석하고자 하는 스타트업\n∙국내 해상수출 데이터와 관련해 데이터를 분석하고자 하는 포워딩 업체\n∙국내 해상수출 데이터와 관련해 데이터를 분석하고자 하는 해외 업체",700000,ESTMT_OFC_NO|ESTMT_YMD|DPTR_PRT_NM|ARVL_PRT_NM|ARVL_CN_NM|FRGHT_VOLM_VL|CNTNR_20FT_QTY|CNTNR_40FT_QTY|UNPRC|OCNFR_USD|TRMNL_RNTF|WHRFG|PAPERS_COST|SUM_AMT|SUM_AMT_KRW|RM,True,2025-07-15,ARVL_CN_NM-ARVL_PRT_NM-CNTNR_20FT_QTY-CNTNR_40FT_QTY-DPTR_PRT_NM-ESTMT_OFC_NO-ESTMT_YMD-FRGHT_VOLM_VL-OCNFR_USD-PAPERS_COST-RM-SUM_AMT-SUM_AMT_KRW-TRMNL_RNTF-UNPRC-WHRFG,울산과학기술원,해운물류,"CSV, JSON, XML","['예상수출물류비용', '예상컨테이너비용', '울산과학기술원', '해상수출', '해상운임', '해상운임견적']",소비/유통,상품,물류,"['예상수출물류비용', '예상컨테이너비용', '울산과학기술원', '해상수출', '해상운임', '해상운임견적']",10480174,274990,10480174.0
bigdata-sea,page_000054.html,-,어업별 조업 정보,"3개 어업별 어선의 조업 현황(어구 종류, 양망/투망이력) 정보\n\n∙어업인에게 안전한 조업활동 정보 제공\n∙해양침적쓰레기 수거를 위한 기초자료로 활용",0,FS_NM|FS_NO|FSH_KIND|BUOY_KND_NM|SOF_NM|FSH_COLCT_CNT|FSHNG_INTRVL|FW_YR|FW_MNTH|FW_DAY|FW_HMS|MRN_NO|OBSV_HMS|CRRNT_SPD|CRRNT_DRCN,True,2025-07-15,BUOY_KND_NM-CRRNT_DRCN-CRRNT_SPD-FSHNG_INTRVL-FSH_COLCT_CNT-FSH_KIND-FS_NM-FS_NO-FW_DAY-FW_HMS-FW_MNTH-FW_YR-MRN_NO-OBSV_HMS-SOF_NM,광주과학기술원,어업자원,"CSV, JSON, XML","['광주과학기술원', '어구종류', '어선정보', '어업', '어종', '조업현황']",산업/기술,해양/수산,어업,"['광주과학기술원', '어구종류', '어선정보', '어업', '어종', '조업현황']",2459127,57189,2459127.0
bigdata-sea,page_000055.html,-,어업별 어획량 정보,3개 어업별 어선의 조업 결과에 따른 어획량 정보\n\n∙어업별 어획량 통계 자료에 활용\n∙어업활동범위 및 어획량 예측 서비스에 활용,0,MRN_NO|FSH_KIND|BUOY_KND_NM|SOF_NM|FW_YR|FW_MNTH|FSH_HL_MNTH,True,2025-07-15,BUOY_KND_NM-FSH_HL_MNTH-FSH_KIND-FW_MNTH-FW_YR-MRN_NO-SOF_NM,광주과학기술원,어업자원,"CSV, JSON, XML","['광주과학기술원', '어구', '어업', '어종', '어획량', '해어황예보']",산업/기술,해양/수산,어업,"['광주과학기술원', '어구', '어업', '어종', '어획량', '해어황예보']",74894,2534,74894.0
bigdata-sea,page_000056.html,-,어업별 어구부위 위치,3개 어업별 어구부이(수상) GPS위치\n\n∙조업 어구 실시간 위치 정보제공 서비스에 활용\n∙선박운항 시 사고를 예방하고 원활한 운항을 지원하는 서비스에 활용\n∙폐어구의 해양오염 또는 유령어업에 의한 수산자원 피해 최소화,0,FS_NM|FS_NO|FSH_KIND|BUOY_KND_NM|BUOY_CNT|BUOY_UNIT|BUOY_NO|FW_YR|FW_MNTH|FW_DAY|FW_HMS|BUOY_ID|BUOY_LA|BUOY_LO,True,2025-07-15,BUOY_CNT-BUOY_ID-BUOY_KND_NM-BUOY_LA-BUOY_LO-BUOY_NO-BUOY_UNIT-FSH_KIND-FS_NM-FS_NO-FW_DAY-FW_HMS-FW_MNTH-FW_YR,광주과학기술원,어업자원,"CSV, JSON, XML","['광주과학기술원', '부이', '어구', '어선', '위치정보', '조업']",산업/기술,해양/수산,어업,"['광주과학기술원', '부이', '어구', '어선', '위치정보', '조업']",21354130,305059,21354130.0
bigdata-sea,page_000057.html,-,어업별 수중어구 위치,3개 어업별 수중어망에 부착된 어구수중위치\n\n∙어업인의 어구자산을 회수할 수 있는 정보제공\n∙유실어구 조기처리로 폐어구의 해양오염 또는 유령어업에 의한 수산자원 피해 최소화,0,FS_NM|FS_NO|FSH_KIND|BUOY_KND_NM|BUOY_CNT|BUOY_UNIT|FW_YR|FW_MNTH|FW_DAY|FW_HMS|BUOY_ID|TAG_ID|TAG_LA|TAG_LO,True,2025-07-15,BUOY_CNT-BUOY_ID-BUOY_KND_NM-BUOY_UNIT-FSH_KIND-FS_NM-FS_NO-FW_DAY-FW_HMS-FW_MNTH-FW_YR-TAG_ID-TAG_LA-TAG_LO,광주과학기술원,어업자원,"CSV, JSON, XML","['광주과학기술원', '어구', '어선', '위치정보', '조업', '태그']",산업/기술,해양/수산,어업,"['광주과학기술원', '어구', '어선', '위치정보', '조업', '태그']",2264128,35377,2264128.0
